AÑO;DISTRITO;BARRIO;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2
2017;01. Centro;01. Centro;;;;;
2017;01. Centro;01. Centro;841;617;438;314;500
2017;01. Centro;011. Palacio;55;65;45;29;41
2017;01. Centro;012. Embajadores;412;252;132;94;91
2017;01. Centro;013. Cortes;51;58;58;28;93
2017;01. Centro;014. Justicia;91;71;55;64;124
2017;01. Centro;015. Universidad;212;153;120;84;105
2017;01. Centro;016. Sol;20;18;28;15;46
2017;02. Arganzuela;02. Arganzuela;;;;;
2017;02. Arganzuela;02. Arganzuela;159;301;353;304;269
2017;02. Arganzuela;021. Imperial;28;38;42;33;54
2017;02. Arganzuela;022. Acacias;8;18;17;12;11
2017;02. Arganzuela;023. Chopera;18;103;58;56;27
2017;02. Arganzuela;024. Legazpi;0;14;17;29;34
2017;02. Arganzuela;025. Delicias;35;37;158;119;105
2017;02. Arganzuela;026. Palos de Moguer;69;91;61;55;35
2017;02. Arganzuela;027. Atocha;1;0;0;0;3
2017;03. Retiro;03. Retiro;;;;;
2017;03. Retiro;03. Retiro;136;239;283;247;513
2017;03. Retiro;031. Pacífico;74;91;83;64;61
2017;03. Retiro;032. Adelfas;14;57;52;51;77
2017;03. Retiro;033. Estrella;3;13;40;24;99
2017;03. Retiro;034. Ibiza;39;53;75;62;119
2017;03. Retiro;035. Los Jerónimos;1;10;6;4;84
2017;03. Retiro;036. Niño Jesús;5;15;27;42;73
2017;04. Salamanca;04. Salamanca;;;;;
2017;04. Salamanca;04. Salamanca;282;481;379;311;831
2017;04. Salamanca;041. Recoletos;34;32;31;25;172
2017;04. Salamanca;042. Goya;59;137;88;67;175
2017;04. Salamanca;043. Fuente del Berro;50;80;72;62;68
2017;04. Salamanca;044. Guindalera;60;137;113;84;181
2017;04. Salamanca;045. Lista;36;58;46;45;99
2017;04. Salamanca;046. Castellana;43;37;29;28;136
2017;05. Chamartín;05. Chamartín;;;;;
2017;05. Chamartín;05. Chamartín;103;283;421;283;605
2017;05. Chamartín;051. El Viso;4;12;20;24;127
2017;05. Chamartín;052. Prosperidad;55;116;163;109;90
2017;05. Chamartín;053. Ciudad Jardín;25;73;57;43;70
2017;05. Chamartín;054. Hispanoamérica;9;41;108;52;138
2017;05. Chamartín;055. Nueva España;9;30;35;36;109
2017;05. Chamartín;056. Castilla;1;11;38;19;71
2017;06. Tetuán;06. Tetuán;;;;;
2017;06. Tetuán;06. Tetuán;373;656;589;293;405
2017;06. Tetuán;061. Bellas Vistas;83;129;88;39;24
2017;06. Tetuán;062. Cuatro Caminos;103;106;121;69;176
2017;06. Tetuán;063. Castillejos;47;94;102;56;90
2017;06. Tetuán;064. Almenara;13;73;84;65;75
2017;06. Tetuán;065. Valdeacederas;67;128;108;36;18
2017;06. Tetuán;066. Berruguete;60;126;86;28;22
2017;07. Chamberí;07. Chamberí;;;;;
2017;07. Chamberí;07. Chamberí;328;407;309;291;776
2017;07. Chamberí;071. Gaztambide;78;75;50;53;132
2017;07. Chamberí;072. Arapiles;42;96;60;41;96
2017;07. Chamberí;073. Trafalgar;86;108;70;63;139
2017;07. Chamberí;074. Almagro;29;37;34;31;160
2017;07. Chamberí;075. Ríos Rosas;69;76;53;62;143
2017;07. Chamberí;076. Vallehermoso;24;15;42;41;106
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;113;451;718;462;1.020
2017;08. Fuencarral-El Pardo;081. El Pardo;0;4;14;3;11
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;0;5;2;3;20
2017;08. Fuencarral-El Pardo;083. Peñagrande;11;56;118;76;150
2017;08. Fuencarral-El Pardo;084. Pilar;26;207;70;13;66
2017;08. Fuencarral-El Pardo;085. La Paz;0;5;22;36;125
2017;08. Fuencarral-El Pardo;086. Valverde;66;146;221;125;215
2017;08. Fuencarral-El Pardo;087. Mirasierra;3;24;208;107;219
2017;08. Fuencarral-El Pardo;088. El Goloso;6;3;41;75;210
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;66;243;489;233;697
2017;09. Moncloa-Aravaca;091. Casa de Campo;13;23;36;25;37
2017;09. Moncloa-Aravaca;092. Argüelles;39;73;61;49;160
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;5;30;21;31;72
2017;09. Moncloa-Aravaca;094. Valdezarza;7;74;148;48;49
2017;09. Moncloa-Aravaca;095. Valdemarín;0;10;6;5;81
2017;09. Moncloa-Aravaca;096. El Plantío;0;0;1;4;20
2017;09. Moncloa-Aravaca;097. Aravaca;2;33;216;71;278
2017;10. Latina;10. Latina;;;;;
2017;10. Latina;10. Latina;97;645;1.047;385;245
2017;10. Latina;101. Los Cármenes;9;29;70;34;11
2017;10. Latina;102. Puerta del Ángel;61;151;213;51;45
2017;10. Latina;103. Lucero;9;136;160;55;27
2017;10. Latina;104. Aluche;11;141;349;92;59
2017;10. Latina;105. Campamento;3;91;35;31;41
2017;10. Latina;106. Cuatro Vientos;0;2;4;5;23
2017;10. Latina;107. Águilas;4;95;216;117;39
2017;11. Carabanchel;11. Carabanchel;;;;;
2017;11. Carabanchel;11. Carabanchel;123;817;695;337;158
2017;11. Carabanchel;111. Comillas;14;71;62;36;11
2017;11. Carabanchel;112. Opañel;7;81;88;42;16
2017;11. Carabanchel;113. San Isidro;33;160;131;75;27
2017;11. Carabanchel;114. Vista Alegre;19;196;163;54;19
2017;11. Carabanchel;115. Puerta Bonita;5;102;73;24;18
2017;11. Carabanchel;116. Buenavista;42;153;130;80;45
2017;11. Carabanchel;117. Abrantes;3;54;48;26;22
2017;12. Usera;12. Usera;;;;;
2017;12. Usera;12. Usera;62;314;348;288;216
2017;12. Usera;121. Orcasitas;1;5;9;39;67
2017;12. Usera;122. Orcasur;0;6;48;28;59
2017;12. Usera;123. San Fermín;2;58;56;74;28
2017;12. Usera;124. Almendrales;12;69;78;27;22
2017;12. Usera;125. Moscardó;19;70;110;42;9
2017;12. Usera;126. Zofío;6;31;10;9;3
2017;12. Usera;127. Pradolongo;22;75;35;69;28
2017;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2017;13. Puente de Vallecas;13. Puente de Vallecas;316;1.030;728;447;225
2017;13. Puente de Vallecas;131. Entrevías;18;69;120;117;38
2017;13. Puente de Vallecas;132. San Diego;159;257;149;27;13
2017;13. Puente de Vallecas;133. Palomeras Bajas;19;155;139;60;22
2017;13. Puente de Vallecas;134. Palomeras Sureste;2;184;56;133;68
2017;13. Puente de Vallecas;135. Portazgo;9;111;106;50;22
2017;13. Puente de Vallecas;136. Numancia;109;254;158;60;62
2017;14. Moratalaz;14. Moratalaz;;;;;
2017;14. Moratalaz;14. Moratalaz;2;256;221;221;99
2017;14. Moratalaz;141. Pavones;1;24;16;29;4
2017;14. Moratalaz;142. Horcajo;0;3;16;10;12
2017;14. Moratalaz;143. Marroquina;0;38;15;79;31
2017;14. Moratalaz;144. Media Legua;0;52;30;23;34
2017;14. Moratalaz;145. Fontarrón;1;94;91;25;13
2017;14. Moratalaz;146. Vinateros;0;45;53;55;5
2017;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2017;15. Ciudad Lineal;15. Ciudad Lineal;100;852;836;334;320
2017;15. Ciudad Lineal;151. Ventas;16;197;254;40;28
2017;15. Ciudad Lineal;152. Pueblo Nuevo;35;282;259;105;39
2017;15. Ciudad Lineal;153. Quintana;23;145;125;45;20
2017;15. Ciudad Lineal;154. Concepción;15;124;99;21;17
2017;15. Ciudad Lineal;155. San Pascual;5;64;20;40;48
2017;15. Ciudad Lineal;156. San Juan Bautista;2;10;26;37;56
2017;15. Ciudad Lineal;157. Colina;3;13;19;20;22
2017;15. Ciudad Lineal;158. Atalaya;0;3;5;1;10
2017;15. Ciudad Lineal;159. Costillares;1;13;29;25;80
2017;16. Hortaleza;16. Hortaleza;;;;;
2017;16. Hortaleza;16. Hortaleza;28;366;464;319;1.038
2017;16. Hortaleza;161. Palomas;0;0;5;8;50
2017;16. Hortaleza;162. Piovera;4;5;16;20;163
2017;16. Hortaleza;163. Canillas;10;60;101;88;55
2017;16. Hortaleza;164. Pinar del Rey;13;237;133;110;59
2017;16. Hortaleza;165. Apóstol Santiago;0;5;56;16;25
2017;16. Hortaleza;166. Valdefuentes;1;59;153;77;686
2017;17. Villaverde;17. Villaverde;;;;;
2017;17. Villaverde;17. Villaverde;32;544;430;196;106
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;23;214;134;52;49
2017;17. Villaverde;172. San Cristóbal;0;107;84;14;4
2017;17. Villaverde;173. Butarque;1;33;35;31;18
2017;17. Villaverde;174. Los Rosales;8;113;89;27;13
2017;17. Villaverde;175. Ángeles;0;77;88;72;22
2017;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2017;18. Villa de Vallecas;18. Villa de Vallecas;72;283;392;337;200
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;34;182;156;116;36
2017;18. Villa de Vallecas;182. Santa Eugenia;1;12;17;96;39
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;37;89;201;124;113
2017;19. Vicálvaro;19. Vicálvaro;;;;;
2017;19. Vicálvaro;19. Vicálvaro;16;196;155;120;48
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;16;193;97;26;11
2017;19. Vicálvaro;192. Valdebernardo;0;2;12;29;5
2017;19. Vicálvaro;193. Valderribas;0;0;22;24;30
2017;19. Vicálvaro;194. El Cañaveral;0;1;24;38;2
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;96;491;408;343;349
2017;20. San Blas-Canillejas;201. Simancas;89;91;91;56;92
2017;20. San Blas-Canillejas;202. Hellín;0;66;36;15;62
2017;20. San Blas-Canillejas;203. Amposta;0;118;16;14;3
2017;20. San Blas-Canillejas;204. Arcos;1;105;46;78;17
2017;20. San Blas-Canillejas;205. Rosas;0;1;53;52;46
2017;20. San Blas-Canillejas;206. Rejas;1;34;31;69;56
2017;20. San Blas-Canillejas;207. Canillejas;5;66;118;44;39
2017;20. San Blas-Canillejas;208. El Salvador;0;10;17;15;34
2017;21. Barajas;21. Barajas;;;;;
2017;21. Barajas;21. Barajas;22;70;92;81;141
2017;21. Barajas;211. Alameda de Osuna;12;0;40;40;66
2017;21. Barajas;212. Aeropuerto;0;14;3;0;1
2017;21. Barajas;213. Casco Histórico de Barajas;6;28;20;12;3
2017;21. Barajas;214. Timón;3;18;27;12;29
2017;21. Barajas;215. Corralejos;1;10;2;17;42
2018;01. Centro;01. Centro;;;;;
2018;01. Centro;01. Centro;802;602;443;287;515
2018;01. Centro;011. Palacio;58;57;40;41;31
