AÑO;DISTRITO;BARRIO;Total viviendas
2017;01. Centro;01. Centro;
2017;01. Centro;01. Centro;2.710
2017;01. Centro;011. Palacio;235
2017;01. Centro;012. Embajadores;981
2017;01. Centro;013. Cortes;288
2017;01. Centro;014. Justicia;405
2017;01. Centro;015. Universidad;674
2017;01. Centro;016. Sol;127
2017;02. Arganzuela;02. Arganzuela;
2017;02. Arganzuela;02. Arganzuela;1.386
2017;02. Arganzuela;021. Imperial;195
2017;02. Arganzuela;022. Acacias;66
2017;02. Arganzuela;023. Chopera;262
2017;02. Arganzuela;024. Legazpi;94
2017;02. Arganzuela;025. Delicias;454
2017;02. Arganzuela;026. Palos de Moguer;311
2017;02. Arganzuela;027. Atocha;4
2017;03. Retiro;03. Retiro;
2017;03. Retiro;03. Retiro;1.418
2017;03. Retiro;031. Pacífico;373
2017;03. Retiro;032. Adelfas;251
2017;03. Retiro;033. Estrella;179
2017;03. Retiro;034. Ibiza;348
2017;03. Retiro;035. Los Jerónimos;105
2017;03. Retiro;036. Niño Jesús;162
2017;04. Salamanca;04. Salamanca;
2017;04. Salamanca;04. Salamanca;2.284
2017;04. Salamanca;041. Recoletos;294
2017;04. Salamanca;042. Goya;526
2017;04. Salamanca;043. Fuente del Berro;332
2017;04. Salamanca;044. Guindalera;575
2017;04. Salamanca;045. Lista;284
2017;04. Salamanca;046. Castellana;273
2017;05. Chamartín;05. Chamartín;
2017;05. Chamartín;05. Chamartín;1.695
2017;05. Chamartín;051. El Viso;187
2017;05. Chamartín;052. Prosperidad;533
2017;05. Chamartín;053. Ciudad Jardín;268
2017;05. Chamartín;054. Hispanoamérica;348
2017;05. Chamartín;055. Nueva España;219
2017;05. Chamartín;056. Castilla;140
2017;06. Tetuán;06. Tetuán;
2017;06. Tetuán;06. Tetuán;2.316
2017;06. Tetuán;061. Bellas Vistas;363
2017;06. Tetuán;062. Cuatro Caminos;575
2017;06. Tetuán;063. Castillejos;389
2017;06. Tetuán;064. Almenara;310
2017;06. Tetuán;065. Valdeacederas;357
2017;06. Tetuán;066. Berruguete;322
2017;07. Chamberí;07. Chamberí;
2017;07. Chamberí;07. Chamberí;2.111
2017;07. Chamberí;071. Gaztambide;388
2017;07. Chamberí;072. Arapiles;335
2017;07. Chamberí;073. Trafalgar;466
2017;07. Chamberí;074. Almagro;291
2017;07. Chamberí;075. Ríos Rosas;403
2017;07. Chamberí;076. Vallehermoso;228
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.764
2017;08. Fuencarral-El Pardo;081. El Pardo;32
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;30
2017;08. Fuencarral-El Pardo;083. Peñagrande;411
2017;08. Fuencarral-El Pardo;084. Pilar;382
2017;08. Fuencarral-El Pardo;085. La Paz;188
2017;08. Fuencarral-El Pardo;086. Valverde;773
2017;08. Fuencarral-El Pardo;087. Mirasierra;561
2017;08. Fuencarral-El Pardo;088. El Goloso;335
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.728
2017;09. Moncloa-Aravaca;091. Casa de Campo;134
2017;09. Moncloa-Aravaca;092. Argüelles;382
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;159
2017;09. Moncloa-Aravaca;094. Valdezarza;326
2017;09. Moncloa-Aravaca;095. Valdemarín;102
2017;09. Moncloa-Aravaca;096. El Plantío;25
2017;09. Moncloa-Aravaca;097. Aravaca;600
2017;10. Latina;10. Latina;
2017;10. Latina;10. Latina;2.419
2017;10. Latina;101. Los Cármenes;153
2017;10. Latina;102. Puerta del Ángel;521
2017;10. Latina;103. Lucero;387
2017;10. Latina;104. Aluche;652
2017;10. Latina;105. Campamento;201
2017;10. Latina;106. Cuatro Vientos;34
2017;10. Latina;107. Águilas;471
2017;11. Carabanchel;11. Carabanchel;
2017;11. Carabanchel;11. Carabanchel;2.130
2017;11. Carabanchel;111. Comillas;194
2017;11. Carabanchel;112. Opañel;234
2017;11. Carabanchel;113. San Isidro;426
2017;11. Carabanchel;114. Vista Alegre;451
2017;11. Carabanchel;115. Puerta Bonita;222
2017;11. Carabanchel;116. Buenavista;450
2017;11. Carabanchel;117. Abrantes;153
2017;12. Usera;12. Usera;
2017;12. Usera;12. Usera;1.228
2017;12. Usera;121. Orcasitas;121
2017;12. Usera;122. Orcasur;141
2017;12. Usera;123. San Fermín;218
2017;12. Usera;124. Almendrales;208
2017;12. Usera;125. Moscardó;250
2017;12. Usera;126. Zofío;59
2017;12. Usera;127. Pradolongo;229
2017;13. Puente de Vallecas;13. Puente de Vallecas;
2017;13. Puente de Vallecas;13. Puente de Vallecas;2.746
2017;13. Puente de Vallecas;131. Entrevías;362
2017;13. Puente de Vallecas;132. San Diego;605
2017;13. Puente de Vallecas;133. Palomeras Bajas;395
2017;13. Puente de Vallecas;134. Palomeras Sureste;443
2017;13. Puente de Vallecas;135. Portazgo;298
2017;13. Puente de Vallecas;136. Numancia;643
2017;14. Moratalaz;14. Moratalaz;
2017;14. Moratalaz;14. Moratalaz;799
2017;14. Moratalaz;141. Pavones;74
2017;14. Moratalaz;142. Horcajo;41
2017;14. Moratalaz;143. Marroquina;163
2017;14. Moratalaz;144. Media Legua;139
2017;14. Moratalaz;145. Fontarrón;224
2017;14. Moratalaz;146. Vinateros;158
2017;15. Ciudad Lineal;15. Ciudad Lineal;
2017;15. Ciudad Lineal;15. Ciudad Lineal;2.442
2017;15. Ciudad Lineal;151. Ventas;535
2017;15. Ciudad Lineal;152. Pueblo Nuevo;720
2017;15. Ciudad Lineal;153. Quintana;358
2017;15. Ciudad Lineal;154. Concepción;276
2017;15. Ciudad Lineal;155. San Pascual;177
2017;15. Ciudad Lineal;156. San Juan Bautista;131
2017;15. Ciudad Lineal;157. Colina;77
2017;15. Ciudad Lineal;158. Atalaya;19
2017;15. Ciudad Lineal;159. Costillares;148
2017;16. Hortaleza;16. Hortaleza;
2017;16. Hortaleza;16. Hortaleza;2.215
2017;16. Hortaleza;161. Palomas;63
2017;16. Hortaleza;162. Piovera;208
